timestamp,log_level,Text Size (bits),SMC Ratio,SMC + Huffman Ratio,Huffman Ratio,Gzip Ratio,Zstd Ratio
2023-08-27 16:11:10,689,INFO,568,0.478873,0.169014,-0.411972,-0.309859,-0.070423
2023-08-27 16:11:10,690,INFO,432,0.277778,-0.481481,-0.604167,-0.462963,-0.166667
2023-08-27 16:11:10,691,INFO,176,0.409091,-0.136364,-0.823864,-1.136364,-0.409091
2023-08-27 16:11:10,693,INFO,728,0.483516,0.142857,-0.199176,-0.131868,0.054945
2023-08-27 16:11:10,696,INFO,856,0.560748,0.355140,-0.078271,-0.056075,0.112150
2023-08-27 16:11:10,699,INFO,1016,0.456693,0.228346,0.003937,0.023622,0.157480
2023-08-27 16:11:10,699,INFO,40,-0.200000,-2.000000,-1.500000,-5.000000,-1.800000
2023-08-27 16:11:10,702,INFO,1112,0.517986,0.381295,0.085432,0.151079,0.266187
2023-08-27 16:11:10,704,INFO,624,0.474359,0.205128,-0.338141,-0.230769,-0.025641
2023-08-27 16:11:10,707,INFO,880,0.481818,0.254545,-0.018182,-0.009091,0.145455
2023-08-27 16:11:10,711,INFO,1240,0.567742,0.445161,0.075806,0.122581,0.219355
2023-08-27 16:11:10,713,INFO,448,0.446429,0.053571,-0.375000,-0.392857,-0.160714
2023-08-27 16:11:10,717,INFO,1432,0.536313,0.469274,0.120112,0.150838,0.240223
2023-08-27 16:11:10,717,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,718,INFO,168,0.285714,-0.523810,-1.130952,-1.190476,-0.428571
2023-08-27 16:11:10,719,INFO,224,0.357143,-0.428571,-0.888393,-0.892857,-0.321429
2023-08-27 16:11:10,723,INFO,864,0.472222,0.287037,-0.061343,-0.064815,0.129630
2023-08-27 16:11:10,725,INFO,896,0.508929,0.169643,-0.177455,-0.080357,0.089286
2023-08-27 16:11:10,728,INFO,728,0.439560,0.098901,-0.296703,-0.153846,0.000000
2023-08-27 16:11:10,728,INFO,168,0.285714,-0.523810,-1.136905,-1.190476,-0.428571
2023-08-27 16:11:10,732,INFO,1120,0.328571,-0.078571,-0.070536,0.071429,0.185714
2023-08-27 16:11:10,735,INFO,904,0.407080,0.061947,-0.119469,-0.008850,0.088496
2023-08-27 16:11:10,737,INFO,696,0.471264,0.218391,-0.198276,-0.172414,0.045977
2023-08-27 16:11:10,740,INFO,744,0.440860,0.075269,-0.278226,-0.118280,0.021505
2023-08-27 16:11:10,744,INFO,1312,0.548780,0.390244,0.065549,0.109756,0.201220
2023-08-27 16:11:10,749,INFO,1744,0.477064,0.252294,0.069954,0.169725,0.252294
2023-08-27 16:11:10,751,INFO,536,0.402985,-0.089552,-0.397388,-0.328358,-0.134328
2023-08-27 16:11:10,753,INFO,576,0.402778,0.027778,-0.180556,-0.236111,0.013889
2023-08-27 16:11:10,753,INFO,112,0.071429,-1.285714,-1.267857,-1.785714,-0.642857
2023-08-27 16:11:10,754,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,754,INFO,144,0.333333,-0.666667,-1.395833,-1.388889,-0.500000
2023-08-27 16:11:10,757,INFO,584,0.465753,0.150685,-0.167808,-0.260274,0.027397
2023-08-27 16:11:10,760,INFO,1184,0.459459,0.114865,-0.025338,0.081081,0.216216
2023-08-27 16:11:10,763,INFO,656,0.512195,0.268293,-0.204268,-0.170732,0.012195
2023-08-27 16:11:10,765,INFO,688,0.476744,0.116279,-0.274709,-0.197674,0.023256
2023-08-27 16:11:10,766,INFO,208,0.384615,-0.153846,-0.610577,-0.846154,-0.346154
2023-08-27 16:11:10,769,INFO,976,0.434426,0.131148,-0.013320,0.000000,0.155738
2023-08-27 16:11:10,774,INFO,1400,0.502857,0.331429,0.057143,0.165714,0.251429
2023-08-27 16:11:10,779,INFO,1632,0.431373,0.147059,0.052083,0.147059,0.225490
2023-08-27 16:11:10,783,INFO,1448,0.414365,0.160221,0.069751,0.160221,0.265193
2023-08-27 16:11:10,789,INFO,1792,0.406250,0.187500,0.114955,0.196429,0.254464
2023-08-27 16:11:10,790,INFO,376,0.489362,0.191489,-0.433511,-0.531915,-0.191489
2023-08-27 16:11:10,793,INFO,1200,0.453333,0.026667,-0.115000,0.040000,0.160000
2023-08-27 16:11:10,797,INFO,1152,0.430556,0.222222,0.017361,0.069444,0.187500
2023-08-27 16:11:10,799,INFO,760,0.515789,0.284211,-0.142105,-0.105263,0.073684
2023-08-27 16:11:10,801,INFO,440,0.472727,0.309091,-0.438636,-0.381818,-0.163636
2023-08-27 16:11:10,804,INFO,1024,0.492188,0.398438,0.020508,0.078125,0.164062
2023-08-27 16:11:10,805,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,806,INFO,360,0.466667,0.200000,-0.413889,-0.555556,-0.200000
2023-08-27 16:11:10,808,INFO,328,0.365854,-0.243902,-0.631098,-0.560976,-0.219512
2023-08-27 16:11:10,809,INFO,496,0.483871,0.322581,-0.197581,-0.322581,-0.145161
2023-08-27 16:11:10,811,INFO,432,0.444444,0.074074,-0.511574,-0.444444,-0.166667
2023-08-27 16:11:10,814,INFO,848,0.509434,0.415094,-0.014151,-0.009434,0.122642
2023-08-27 16:11:10,816,INFO,512,0.484375,0.265625,-0.306641,-0.328125,-0.046875
2023-08-27 16:11:10,818,INFO,480,0.533333,0.366667,-0.268750,-0.383333,-0.150000
2023-08-27 16:11:10,820,INFO,504,0.460317,0.142857,-0.271825,-0.269841,-0.142857
2023-08-27 16:11:10,821,INFO,256,0.531250,0.343750,-0.554688,-0.781250,-0.281250
2023-08-27 16:11:10,823,INFO,792,0.393939,-0.010101,-0.271465,-0.131313,0.050505
2023-08-27 16:11:10,825,INFO,584,0.506849,0.205479,-0.328767,-0.260274,-0.041096
2023-08-27 16:11:10,827,INFO,432,0.277778,-0.351852,-0.451389,-0.407407,-0.166667
2023-08-27 16:11:10,829,INFO,592,0.513514,0.337838,-0.153716,-0.216216,0.027027
2023-08-27 16:11:10,830,INFO,264,0.363636,-0.303030,-0.821970,-0.757576,-0.272727
2023-08-27 16:11:10,830,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,831,INFO,232,0.517241,0.275862,-0.659483,-0.862069,-0.310345
2023-08-27 16:11:10,833,INFO,864,0.379630,-0.018519,-0.071759,-0.037037,0.101852
2023-08-27 16:11:10,836,INFO,648,0.493827,0.345679,-0.219136,-0.197531,0.012346
2023-08-27 16:11:10,839,INFO,1144,0.391608,0.076923,0.018357,0.062937,0.188811
2023-08-27 16:11:10,842,INFO,944,0.491525,0.305085,-0.096398,-0.025424,0.110169
2023-08-27 16:11:10,845,INFO,768,0.395833,0.031250,-0.167969,-0.093750,0.062500
2023-08-27 16:11:10,848,INFO,1136,0.478873,0.288732,-0.005282,0.077465,0.204225
2023-08-27 16:11:10,852,INFO,1032,0.457364,0.131783,-0.078488,0.054264,0.170543
2023-08-27 16:11:10,856,INFO,1552,0.500000,0.365979,0.141753,0.201031,0.268041
2023-08-27 16:11:10,858,INFO,448,0.589286,0.464286,-0.430804,-0.357143,-0.160714
2023-08-27 16:11:10,861,INFO,1016,0.519685,0.299213,-0.006890,0.007874,0.157480
2023-08-27 16:11:10,864,INFO,792,0.404040,-0.111111,-0.406566,-0.181818,0.010101
2023-08-27 16:11:10,866,INFO,688,0.523256,0.325581,-0.106105,-0.139535,0.058140
2023-08-27 16:11:10,867,INFO,312,0.333333,-0.205128,-0.753205,-0.641026,-0.230769
2023-08-27 16:11:10,870,INFO,1008,0.515873,0.388889,0.022817,0.047619,0.174603
